id,key,value,type
206396060,highway,crossing,regular
206396060,tactile_paving,no,regular
206396060,wheelchair,yes,regular
206396067,barrier,bollard,regular
206396067,bicycle,yes,regular
206396067,bollard,rising,regular
206396067,foot,yes,regular
206396071,crossing,uncontrolled,regular
206396071,highway,crossing,regular
206396071,tactile_paving,no,regular
206396071,wheelchair,no,regular
206396119,crossing,uncontrolled,regular
206396119,highway,crossing,regular
206396119,tactile_paving,no,regular
206396119,wheelchair,yes,regular
206396140,access,yes,regular
206396140,amenity,parking,regular
206396140,capacity,500,regular
206396140,fee,yes,regular
206396140,name,Aparcamientos Escuelas Pías,regular
206396147,crossing,uncontrolled,regular
206396147,crossing_ref,zebra,regular
206396147,highway,crossing,regular
206396147,tactile_paving,no,regular
206396147,wheelchair,yes,regular
206396160,crossing,uncontrolled,regular
206396160,highway,crossing,regular
206396160,wheelchair,yes,regular
206396165,crossing,uncontrolled,regular
206396165,highway,crossing,regular
206396165,tactile_paving,no,regular
206396165,wheelchair,no,regular
206396223,crossing,uncontrolled,regular
206396223,highway,crossing,regular
206396223,wheelchair,yes,regular
206396284,crossing,uncontrolled,regular
206396284,highway,crossing,regular
206396284,wheelchair,yes,regular
206396316,crossing,uncontrolled,regular
206396316,highway,crossing,regular
206396316,tactile_paving,no,regular
206396316,wheelchair,no,regular
206396319,crossing,uncontrolled,regular
206396319,highway,crossing,regular
206396319,tactile_paving,no,regular
206396319,wheelchair,yes,regular
206396324,crossing,uncontrolled,regular
206396324,highway,crossing,regular
206396324,tactile_paving,no,regular
206396324,wheelchair,yes,regular
206396329,crossing,uncontrolled,regular
206396329,highway,crossing,regular
206396329,wheelchair,yes,regular
206396334,crossing,uncontrolled,regular
206396334,highway,crossing,regular
206396334,tactile_paving,no,regular
206396334,wheelchair,yes,regular
206396343,crossing,uncontrolled,regular
206396343,highway,crossing,regular
206396343,tactile_paving,no,regular
206396343,wheelchair,yes,regular
206396348,barrier,kerb,regular
206396348,wheelchair,no,regular
206396351,crossing,uncontrolled,regular
206396351,highway,crossing,regular
206396351,tactile_paving,no,regular
206396351,wheelchair,yes,regular
206396352,crossing,uncontrolled,regular
206396352,highway,crossing,regular
206396352,wheelchair,yes,regular
206396370,barrier,kerb,regular
206396370,tactile_paving,incorrect,regular
206396370,wheelchair,yes,regular
206396379,barrier,gate,regular
206396379,bicycle,yes,regular
206396379,foot,yes,regular
206396385,highway,stop,regular
206396428,crossing,uncontrolled,regular
206396428,highway,crossing,regular
206396428,tactile_paving,no,regular
206396428,wheelchair,yes,regular
206396450,crossing,uncontrolled,regular
206396450,highway,crossing,regular
206396450,tactile_paving,no,regular
206396450,wheelchair,yes,regular
207701686,crossing,uncontrolled,regular
207701686,highway,crossing,regular
207701686,tactile_paving,yes,regular
207701686,wheelchair,yes,regular
207701692,crossing,uncontrolled,regular
207701692,highway,crossing,regular
207701692,tactile_paving,yes,regular
207701692,wheelchair,yes,regular
207701743,crossing,unmarked,regular
207701743,highway,traffic_signals,regular
207701750,crossing,unmarked,regular
207701750,highway,crossing,regular
207701750,wheelchair,yes,regular
207701770,crossing,unmarked,regular
207701770,highway,crossing,regular
207701770,wheelchair,limited,regular
207701781,crossing,uncontrolled,regular
207701781,highway,crossing,regular
207701781,wheelchair,limited,regular
207701784,crossing,uncontrolled,regular
207701784,highway,crossing,regular
207701784,tactile_paving,no,regular
207701784,wheelchair,limited,regular
207701806,crossing,uncontrolled,regular
207701806,highway,crossing,regular
207701806,tactile_paving,no,regular
207701806,wheelchair,no,regular
207701824,crossing,uncontrolled,regular
207701824,highway,crossing,regular
207701824,tactile_paving,no,regular
207701824,wheelchair,yes,regular
207701827,crossing,uncontrolled,regular
207701827,highway,crossing,regular
207701827,tactile_paving,no,regular
207701827,wheelchair,yes,regular
207701908,crossing,unmarked,regular
207701908,highway,crossing,regular
207701908,wheelchair,no,regular
208951107,crossing,uncontrolled,regular
208951107,highway,crossing,regular
208951107,wheelchair,no,regular
208951120,crossing,uncontrolled,regular
208951120,highway,crossing,regular
208951120,wheelchair,yes,regular
208951428,crossing,unmarked,regular
208951428,highway,crossing,regular
208951428,tactile_paving,no,regular
208951428,wheelchair,yes,regular
208951816,crossing,unmarked,regular
208951816,highway,crossing,regular
208951816,wheelchair,yes,regular
208951845,crossing,unmarked,regular
208951845,highway,crossing,regular
208951845,tactile_paving,no,regular
208951845,wheelchair,yes,regular
208951932,crossing,uncontrolled,regular
208951932,highway,crossing,regular
208951932,tactile_paving,no,regular
208951932,wheelchair,yes,regular
208951984,crossing,uncontrolled,regular
208951984,highway,crossing,regular
208951984,wheelchair,yes,regular
208952063,crossing,unmarked,regular
208952063,highway,crossing,regular
208952063,wheelchair,yes,regular
208952215,crossing,uncontrolled,regular
208952215,highway,crossing,regular
208952215,tactile_paving,no,regular
208952215,wheelchair,yes,regular
208952319,crossing,unmarked,regular
208952319,highway,crossing,regular
208952319,wheelchair,yes,regular
212510461,crossing,uncontrolled,regular
212510461,highway,crossing,regular
212510461,tactile_paving,no,regular
212510461,wheelchair,yes,regular
212510521,crossing,uncontrolled,regular
212510521,highway,crossing,regular
212510521,tactile_paving,no,regular
212510521,wheelchair,yes,regular
212510541,crossing,uncontrolled,regular
212510541,highway,crossing,regular
212510541,tactile_paving,no,regular
212510541,wheelchair,yes,regular
234635725,crossing,uncontrolled,regular
234635725,highway,crossing,regular
234635725,tactile_paving,incorrect,regular
234635725,wheelchair,limited,regular
234636268,crossing,uncontrolled,regular
234636268,highway,crossing,regular
234636268,tactile_paving,no,regular
234636268,wheelchair,no,regular
234636490,barrier,kerb,regular
234636490,wheelchair,yes,regular
234637497,crossing,uncontrolled,regular
234637497,highway,crossing,regular
234637497,source,ide.Sevilla,regular
234637497,date,2011,source
234637497,tactile_paving,no,regular
234637497,wheelchair,yes,regular
234637678,barrier,kerb,regular
234637678,wheelchair,limited,regular
234637962,crossing,unmarked,regular
234637962,highway,crossing,regular
234637962,tactile_paving,no,regular
234637962,wheelchair,yes,regular
234637991,crossing,unmarked,regular
234637991,highway,crossing,regular
234637991,tactile_paving,no,regular
234637991,wheelchair,yes,regular
234638134,crossing,uncontrolled,regular
234638134,highway,crossing,regular
234638134,tactile_paving,no,regular
234638134,wheelchair,yes,regular
234638155,crossing,uncontrolled,regular
234638155,highway,crossing,regular
234638155,tactile_paving,no,regular
234638155,wheelchair,limited,regular
234638185,crossing,uncontrolled,regular
234638185,highway,crossing,regular
234638185,tactile_paving,no,regular
234638185,wheelchair,limited,regular
234638206,crossing,uncontrolled,regular
234638206,highway,crossing,regular
234638206,tactile_paving,no,regular
234638206,wheelchair,limited,regular
234638236,crossing,uncontrolled,regular
234638236,highway,crossing,regular
234638236,tactile_paving,yes,regular
234638236,wheelchair,yes,regular
234638367,barrier,bollard,regular
234638367,bicycle,yes,regular
234638367,foot,yes,regular
234638446,crossing,unmarked,regular
234638446,highway,crossing,regular
234638446,tactile_paving,no,regular
234638446,wheelchair,yes,regular
234638515,crossing,unmarked,regular
234638515,highway,crossing,regular
234638515,tactile_paving,no,regular
234638515,wheelchair,yes,regular
235329137,crossing,unmarked,regular
235329137,highway,crossing,regular
235329137,tactile_paving,no,regular
235329137,wheelchair,limited,regular
235329161,crossing,uncontrolled,regular
235329161,highway,crossing,regular
235329161,tactile_paving,no,regular
235329161,wheelchair,yes,regular
235329172,crossing,unmarked,regular
235329172,highway,crossing,regular
235329172,tactile_paving,no,regular
235329172,wheelchair,yes,regular
235329242,crossing,uncontrolled,regular
235329242,highway,crossing,regular
235329242,tactile_paving,no,regular
235329242,wheelchair,yes,regular
235329289,crossing,unmarked,regular
235329289,highway,crossing,regular
235329289,tactile_paving,no,regular
235329289,wheelchair,yes,regular
235329446,crossing,uncontrolled,regular
235329446,highway,crossing,regular
235329446,tactile_paving,no,regular
235329446,wheelchair,no,regular
235329453,crossing,unmarked,regular
235329453,highway,crossing,regular
235329453,tactile_paving,yes,regular
235329453,wheelchair,yes,regular
235329471,crossing,uncontrolled,regular
235329471,highway,crossing,regular
235329471,tactile_paving,yes,regular
235329471,wheelchair,yes,regular
235329478,crossing,unmarked,regular
235329478,highway,crossing,regular
235329478,tactile_paving,yes,regular
235329478,wheelchair,yes,regular
235329483,crossing,unmarked,regular
235329483,highway,crossing,regular
235329483,tactile_paving,yes,regular
235329483,wheelchair,yes,regular
235329490,crossing,uncontrolled,regular
235329490,highway,crossing,regular
235329490,tactile_paving,yes,regular
235329490,wheelchair,yes,regular
235329502,crossing,uncontrolled,regular
235329502,highway,crossing,regular
235329502,tactile_paving,no,regular
235329502,wheelchair,yes,regular
235331063,wheelchair,no,regular
235331104,crossing,unmarked,regular
235331104,highway,crossing,regular
235331104,tactile_paving,yes,regular
235331104,wheelchair,yes,regular
235331109,crossing,uncontrolled,regular
235331109,highway,crossing,regular
235331109,tactile_paving,yes,regular
