id,lat,lon,user,uid,version,changeset,timestamp
199366141,37.3852084,-5.9939276,erlenmeyer,875518,7,16189857,2013-05-19T08:07:31Z
205335875,37.3985399,-5.9796377,erlenmeyer,875518,15,15624195,2013-04-05T19:25:41Z
205488009,37.3847048,-5.9865860,erlenmeyer,875518,23,17753992,2013-09-09T17:44:34Z
205488010,37.3851429,-5.9863625,erlenmeyer,875518,26,17753992,2013-09-09T17:44:34Z
205488011,37.3856363,-5.9860734,avm,99570,40,49671993,2017-06-19T16:52:47Z
205488013,37.3862882,-5.9857332,Alberto Molina,161725,24,4736177,2010-05-18T07:46:04Z
205488016,37.3891797,-5.9844710,BoomEngine,288925,10,79353695,2020-01-08T19:34:53Z
205488017,37.3899603,-5.9841874,erlenmeyer,875518,22,17754116,2013-09-09T17:51:38Z
205488018,37.3908976,-5.9840757,BoomEngine,288925,9,79216230,2020-01-05T16:02:05Z
205488020,37.3916887,-5.9840722,mor,220932,24,82469462,2020-03-21T20:26:23Z
205488021,37.3918402,-5.9840730,BoomEngine,288925,21,79216817,2020-01-05T16:26:24Z
205488022,37.3921460,-5.9840711,BoomEngine,288925,21,79216230,2020-01-05T16:02:05Z
205488023,37.3927429,-5.9840529,BoomEngine,288925,22,79216230,2020-01-05T16:02:05Z
205488025,37.3930770,-5.9839928,BoomEngine,288925,10,79216817,2020-01-05T16:26:24Z
205488026,37.3937277,-5.9838235,BoomEngine,288925,23,79216230,2020-01-05T16:02:05Z
205488027,37.3939143,-5.9837772,BoomEngine,288925,21,79216230,2020-01-05T16:02:05Z
205488028,37.3942001,-5.9836600,BoomEngine,288925,8,79216230,2020-01-05T16:02:05Z
205488030,37.3945615,-5.9834196,BoomEngine,288925,25,79222157,2020-01-05T20:12:57Z
205488032,37.3947281,-5.9832889,BoomEngine,288925,21,79222157,2020-01-05T20:12:57Z
205488033,37.3954001,-5.9827911,erlenmeyer,875518,21,36191540,2015-12-27T10:21:55Z
205488034,37.3958633,-5.9824578,erlenmeyer,875518,12,36191540,2015-12-27T10:21:55Z
206181291,37.3874305,-5.9908641,cirdancarpintero,2245342,7,53184416,2017-10-23T16:49:53Z
206181298,37.3871929,-5.9903715,cirdancarpintero,2245342,6,53184416,2017-10-23T16:49:53Z
206181300,37.3871080,-5.9901971,cirdancarpintero,2245342,6,53184416,2017-10-23T16:49:53Z
206181301,37.3870283,-5.9900512,cirdancarpintero,2245342,6,53184416,2017-10-23T16:49:53Z
