id,node_id,position
18536016,191135801,2
18536016,191135802,3
18536016,191135803,4
18536016,191135805,5
18536016,643085783,6
18536016,2582629391,7
18536016,2582629393,8
18536016,2582629389,9
18536016,643085781,10
18536016,643085778,11
18536016,2582629387,12
18536016,643085779,13
18536016,191135798,14
18545389,192009473,0
18545389,195982576,1
18545389,192009475,2
18545389,2582629381,3
18545937,191234937,0
18545937,191234738,1
18545937,5153085326,2
18546016,191235623,0
18546016,5003001454,1
18546016,191232628,2
18546585,191240984,0
18546585,244013935,1
18546585,3747709391,2
18546585,3747709393,3
18546585,244013936,4
18546585,191240985,5
18546585,244013937,6
18546585,3747709380,7
18546585,3747709373,8
18546585,3747709370,9
18546585,3747709366,10
18546585,3747709362,11
18546585,3747709356,12
18546585,3747709357,13
18546585,3747709353,14
18546585,3747709352,15
18546585,3747709345,16
18546585,3747709341,17
18546585,3747709342,18
18546585,3747709339,19
18546585,3747709335,20
18546585,3747709331,21
18546585,3747709327,22
18546585,244013938,23
18546585,3747709326,24
18546585,3747709014,25
18546585,3747709010,26
18546585,3747709008,27
18546585,3747709006,28
18546585,244013940,29
18546585,2668380791,30
18546585,244013941,31
18546585,2317627285,32
18546585,2317627282,33
18546585,3747709358,34
18546585,3747709360,35
18546585,3747709361,36
18546585,3747709365,37
18546585,3747709376,38
18546585,3747709377,39
18546585,3747709378,40
18546585,3747709379,41
18546585,3747709388,42
18546585,3747709389,43
18546585,3747709406,44
18546585,4427495750,45
18546585,191240984,46
18548712,191259370,0
18548712,1896279094,1
18548712,3575820232,2
18548712,1896279102,3
18548712,191259372,4
18548712,1896279104,5
18548712,1896279099,6
18548712,6440288816,7
18548712,1896279111,8
18548712,1896279107,9
18548712,191259373,10
18548712,244097723,11
18548712,244097724,12
18548712,3231515835,13
18548712,191259376,14
18548712,2408028078,15
18548712,2408028053,16
18548712,7111326747,17
18548712,2663431131,18
18548712,679540398,19
18548712,679540397,20
18548712,2408028074,21
18548712,2408028079,22
18548712,2408028033,23
18548712,679540396,24
18548712,2408028050,25
18548712,2408028037,26
18548712,2408028067,27
18548712,191259377,28
18548712,3231515840,29
18548712,244097727,30
18548712,244097728,31
18548712,191259370,32
18550012,244097740,0
18550012,6334228508,1
18550012,244097739,2
18550012,6334228511,3
18550012,2408015644,4
18550012,2408015583,5
18613259,191233386,0
18613259,191233385,1
18613259,191224675,2
18613259,5153085329,3
18613651,192040954,0
18613651,2077803169,1
18613651,192040949,2
18613820,191231192,0
18613820,191230157,1
18613820,3744238208,2
18613820,191230155,3
18615552,7102249554,0
18615552,192016407,1
18615552,436363180,2
18615552,192016409,3
18615552,197992502,4
18615552,197992479,5
18615552,3749244306,6
18615552,813726835,7
18615552,3749244511,8
18615552,717195474,9
18615552,192016414,10
18615552,192016416,11
18615552,196556500,12
18615552,3046608969,13
18615552,4279916900,14
18615552,2618534419,15
18615552,4279916938,16
18615552,2618534429,17
18615552,5153085348,18
18615552,5153085347,19
18615552,5153085346,20
18615552,5153085345,21
18616007,2317627281,0
18616007,5153085341,1
18616007,5153085342,2
18616007,5153085343,3
18616007,5153085340,4
18616007,5153085344,5
18616007,5153085334,6
18616007,192027220,7
18616007,813726718,8
18616007,813726827,9
18616007,436382110,10
18616007,197992499,11
18616007,4334201860,12
18616007,192027227,13
18616007,192027229,14
18616007,1557293088,15
18616007,3149428857,16
18616007,192021712,17
18616645,192036308,0
18616645,2077803167,1
18616645,4291083073,2
18616645,4291083079,3
18616645,192040949,4
18616645,4291083088,5
18616645,192040132,6
18616645,4291083301,7
18616645,4291083318,8
18616645,192040133,9
18616645,192040954,10
18616645,192032144,11
18616645,2286213443,12
18616645,192040135,13
18616645,2077803168,14
18616645,4334202282,15
18616645,192036308,16
18616774,192042202,0
18616774,4334200981,1
18616774,192042752,2
18616882,5153085329,0
18616882,4420225867,1
18616882,2664215533,2
18616882,4420225866,3
18616882,2664215526,4
18616882,192044657,5
18616882,813726715,6
18616882,192044658,7
18616882,192044659,8
18616882,196078867,9
18616882,192044661,10
18616882,5153085332,11
18616918,192045033,0
18616918,4420225857,1
18616918,192045452,2
18616918,192045453,3
18616918,192045454,4
18616918,192045455,5
18616918,5153085331,6
18617128,192044661,0
18617128,3747709390,1
18617128,3747709372,2
18617128,192045455,3
18617128,3747709369,4
18617128,3749107415,5
18617128,3747709351,6
18617128,192046124,7
18617128,3747709344,8
18617128,3749107373,9
18617128,3749107363,10
18617128,3749107356,11
18617128,3749107349,12
18617128,3747709017,13
18617128,3747709007,14
18617128,192049103,15
18617128,3747709004,16
18617128,3747709011,17
18617128,3747709013,18
18617128,3747709328,19
18617128,3747709332,20
18617128,3747709336,21
18617128,3747709340,22
18617128,3747709346,23
18617128,3747709354,24
18617128,3747709363,25
18617128,3747709367,26
18617128,3747709371,27
18617128,3747709375,28
18617128,3747709381,29
18617128,3747709396,30
18617128,3747709397,31
18617128,192049105,32
18617128,3747709401,33
18617128,3747709398,34
18617128,192044661,35
18937654,195966410,0
18937654,4291083498,1
18937654,195966408,2
18937654,195966407,3
18937654,195966404,4
18937742,813726697,0
18937742,4291083068,1
18937742,195967299,2
18937742,4878714720,3
18937742,195967298,4
18937742,195966404,5
18938044,440230342,0
18938044,3857791730,1
